invoice_id,customer_name,invoice_date,due_date,currency,amount
INV-1001,Acme Corp,2024-01-05,2024-01-20,USD,1500.00
INV-1002,Futura LLC,2024-01-10,2024-01-25,USD,4200.00
INV-1003,Nimbus Inc,2024-01-12,2024-01-27,USD,600.00
INV-1004,Lumenis Co,2024-01-15,2024-01-30,USD,980.50
INV-1005,Orbit Solutions,2024-01-18,2024-02-02,EUR,2500.00
INV-1006,Acme Corp,2024-01-22,2024-02-06,USD,3100.00
INV-1007,Vertex Labs,2024-01-24,2024-02-08,USD,725.00
INV-1008,Summit Media,2024-01-28,2024-02-12,USD,1850.25
INV-1009,BlueRiver AG,2024-02-01,2024-02-16,EUR,910.10
INV-1010,Cascade Retail,2024-02-04,2024-02-19,USD,1320.00
INV-1011,Futura LLC,2024-02-09,2024-02-24,USD,2600.00
INV-1012,Northwind Traders,2024-02-12,2024-02-27,USD,480.75
